parameter_name,parameter_value,tax_mechanism,total_rounds,jit_participation_rate,mean_jit_volume,mean_displacement,total_tax_collected,mean_tax_rate_bps,total_passive_lp_pnl,total_jit_mm_pnl,mean_passive_lp_pnl_per_round,mean_jit_mm_pnl_per_round,total_welfare
rate_bps,0,FixedRate(0bps),5000,0.9986,111.72,107.00,0,0.00,-310086887,299795671,-62017.38,59959.13,-10291216
rate_bps,50,FixedRate(50bps),5000,0.9986,111.72,107.00,26750600,49.93,-310086887,273045071,-62017.38,54609.01,-37041816
rate_bps,100,FixedRate(100bps),5000,0.9986,111.72,107.00,53501200,99.86,-310086887,246294471,-62017.38,49258.89,-63792416
rate_bps,150,FixedRate(150bps),5000,0.9986,111.72,107.00,80251800,149.79,-310086887,219543871,-62017.38,43908.77,-90543016
rate_bps,200,FixedRate(200bps),5000,0.9986,111.72,107.00,107002400,199.72,-310086887,192793271,-62017.38,38558.65,-117293616
rate_bps,250,FixedRate(250bps),5000,0.9986,111.72,107.00,133753000,249.65,-310086887,166042671,-62017.38,33208.53,-144044216
rate_bps,300,FixedRate(300bps),5000,0.9986,111.72,107.00,160503600,299.58,-310086887,139292071,-62017.38,27858.41,-170794816
rate_bps,350,FixedRate(350bps),5000,0.9986,111.72,107.00,187254200,349.51,-310086887,112541471,-62017.38,22508.29,-197545416
rate_bps,400,FixedRate(400bps),5000,0.9986,111.72,107.00,214004800,399.44,-310086887,85790871,-62017.38,17158.17,-224296016
rate_bps,450,FixedRate(450bps),5000,0.9986,111.72,107.00,240755400,449.37,-310086887,59040271,-62017.38,11808.05,-251046616
rate_bps,500,FixedRate(500bps),5000,0.9986,111.72,107.00,267506000,499.30,-310086887,32289671,-62017.38,6457.93,-277797216
target_pct,5,Dynamic(target=5%),5000,0.0688,7.54,2.34,4671275,925.70,-35348087,21672371,-7069.62,4334.47,-13675716
target_pct,10,Dynamic(target=10%),5000,0.1188,13.28,8.11,18834515,616.61,-50496437,22570856,-10099.29,4514.17,-27925581
target_pct,15,Dynamic(target=15%),5000,0.1638,18.02,12.87,30526760,604.29,-62988287,23308511,-12597.66,4661.70,-39679776
target_pct,20,Dynamic(target=20%),5000,0.2126,23.54,18.41,43818335,594.16,-77538662,24504311,-15507.73,4900.86,-53034351
target_pct,25,Dynamic(target=25%),5000,0.2614,28.95,23.85,56566725,581.49,-91805537,25966096,-18361.11,5193.22,-65839441
target_pct,30,Dynamic(target=30%),5000,0.3112,34.80,29.72,69930660,568.40,-107232662,27965236,-21446.53,5593.05,-79267426
target_pct,35,Dynamic(target=35%),5000,0.3606,40.28,35.24,82111380,555.28,-121701137,30168466,-24340.23,6033.69,-91532671
target_pct,40,Dynamic(target=40%),5000,0.4092,45.53,40.52,93409050,542.43,-135567962,32658346,-27113.59,6531.67,-102909616
target_pct,45,Dynamic(target=45%),5000,0.4592,51.33,46.35,105521035,529.21,-150876962,35772411,-30175.39,7154.48,-115104551
target_pct,50,Dynamic(target=50%),5000,0.5084,56.74,51.77,116278380,516.36,-165101837,39201091,-33020.37,7840.22,-125900746
coefficient,0.5,ProportionalHarm(0.5x),5000,0.9986,111.72,107.00,140616724,267.68,-310086887,159178947,-62017.38,31835.79,-150907940
coefficient,0.7,ProportionalHarm(0.7x),5000,0.9986,111.72,107.00,196863821,374.94,-310086887,102931850,-62017.38,20586.37,-207155037
coefficient,0.9,ProportionalHarm(0.9x),5000,0.9986,111.72,107.00,253111004,482.19,-310086887,46684667,-62017.38,9336.93,-263402220
coefficient,1.1,ProportionalHarm(1.1x),5000,0.0508,5.51,0.30,1252169,42.60,-29989412,19753277,-5997.88,3950.66,-10236135
coefficient,1.3,ProportionalHarm(1.3x),5000,0.0508,5.51,0.30,1479857,50.32,-29989412,19525589,-5997.88,3905.12,-10463823
coefficient,1.5,ProportionalHarm(1.5x),5000,0.0508,5.51,0.30,1707599,58.09,-29989412,19297847,-5997.88,3859.57,-10691565
coefficient,1.7,ProportionalHarm(1.7x),5000,0.0508,5.51,0.30,1935201,65.84,-29989412,19070245,-5997.88,3814.05,-10919167
coefficient,1.9,ProportionalHarm(1.9x),5000,0.0508,5.51,0.30,2162889,73.56,-29989412,18842557,-5997.88,3768.51,-11146855
